Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,762.2,762.2,747.54,759.44,3369100,759.44,0.0,759.44,759.44
2016-01-05,2016,1,5,Tuesday,01,2016-01,764.1,769.2,755.65,761.53,2260800,761.53,0.002752063163317553,760.485,760.485
2016-01-06,2016,1,6,Wednesday,01,2016-01,750.37,765.73,748.0,759.33,2410300,759.33,-0.002888936906483508,760.1,760.1
2016-01-07,2016,1,7,Thursday,01,2016-01,746.49,755.31,735.28,741.0,3156600,741.0,-0.02413972406898135,755.325,755.325
2016-01-08,2016,1,8,Friday,01,2016-01,747.8,750.12,728.92,730.91,2375300,730.91,-0.013616770385248,750.442,750.442
2016-01-11,2016,1,11,Monday,02,2016-02,731.95,735.08,719.56,733.07,2544800,733.07,0.002955267076729884,747.5466666666666,747.5466666666666
2016-01-12,2016,1,12,Tuesday,02,2016-02,740.75,748.34,736.43,745.34,2340800,745.34,0.01673785505976011,747.2314285714285,747.2314285714285
2016-01-13,2016,1,13,Wednesday,02,2016-02,749.34,753.0,716.78,719.57,2586400,719.57,-0.03457484987083237,743.7737500000001,743.7737500000001
2016-01-14,2016,1,14,Thursday,02,2016-02,724.44,739.89,705.0,731.39,2777900,731.39,0.016426486935124496,742.3977777777777,742.3977777777777
2016-01-15,2016,1,15,Friday,02,2016-02,709.99,724.16,701.51,710.49,3833800,710.49,-0.02857575848107341,739.207,739.207
2016-01-19,2016,1,19,Tuesday,03,2016-03,720.15,725.35,709.85,719.08,2436200,719.08,0.012090285540314438,737.3772727272727,737.3772727272727
2016-01-20,2016,1,20,Wednesday,03,2016-03,705.9,726.95,687.78,718.56,4122000,718.56,-0.0007231733866761569,735.8091666666668,735.8091666666668
2016-01-21,2016,1,21,Thursday,03,2016-03,720.17,737.67,711.11,726.67,2596900,726.67,0.011286441465037322,735.1061538461539,735.1061538461539
2016-01-22,2016,1,22,Friday,03,2016-03,742.0,748.56,740.5,745.46,2357300,745.46,0.025857733915538805,735.8457142857143,735.8457142857143
2016-01-25,2016,1,25,Monday,04,2016-04,743.84,752.46,732.5,733.62,2267000,733.62,-0.015882846170794496,734.0014285714286,735.6973333333334
2016-01-26,2016,1,26,Tuesday,04,2016-04,735.21,739.46,726.97,733.79,1547000,733.79,0.00023170430370988981,732.0200000000001,735.578125
2016-01-27,2016,1,27,Wednesday,04,2016-04,735.89,735.89,713.45,717.58,2121400,717.58,-0.022090736345401485,729.0378571428572,734.5194117647059
2016-01-28,2016,1,28,Thursday,04,2016-04,738.19,751.16,730.6,748.3,3105200,748.3,0.042810515860949305,729.5592857142858,735.2850000000001
2016-01-29,2016,1,29,Friday,04,2016-04,748.96,765.11,744.2,761.35,3790400,761.35,0.01743951357190099,731.7335714285715,736.6568421052631
2016-02-01,2016,2,1,Monday,05,2016-05,771.26,777.59,761.38,770.77,5576100,770.77,0.012372817032092032,734.4264285714286,738.3625
2016-02-02,2016,2,2,Tuesday,05,2016-05,800.5,810.35,780.6,780.91,6792300,780.91,0.01315561497766593,736.9671428571428,740.3885714285714
2016-02-03,2016,2,3,Wednesday,05,2016-05,786.28,791.43,736.26,749.38,6555700,749.38,-0.04037593236868953,739.0964285714286,740.7972727272728
2016-02-04,2016,2,4,Thursday,05,2016-05,744.59,745.24,722.6,730.03,5246100,730.03,-0.025821312898471893,738.9992857142857,740.3291304347825
2016-02-05,2016,2,5,Friday,05,2016-05,725.5,726.72,700.14,703.76,5477800,703.76,-0.03598484785146694,738.5185714285715,738.8054166666667
2016-02-08,2016,2,8,Monday,06,2016-06,687.68,704.52,682.01,704.16,4470500,704.16,0.0005683235383600049,737.4528571428572,737.4196000000001
2016-02-09,2016,2,9,Tuesday,06,2016-06,692.95,720.96,688.5,701.02,4215000,701.02,-0.004459148109852484,736.1999999999999,736.0196153846153
2016-02-10,2016,2,10,Wednesday,06,2016-06,711.79,723.22,705.39,706.85,3015700,706.85,0.008316390248862993,734.7842857142858,734.9392592592593
2016-02-11,2016,2,11,Thursday,06,2016-06,696.34,712.32,691.19,706.36,3250200,706.36,-0.0006932025907885331,731.9914285714285,733.9185714285715
2016-02-12,2016,2,12,Friday,06,2016-06,712.21,716.0,701.58,706.89,2326900,706.89,0.000750367104403793,730.0821428571428,732.9865517241379
2016-02-16,2016,2,16,Tuesday,07,2016-07,718.65,722.88,710.18,717.64,2172200,717.64,0.015207457705207927,728.9285714285714,732.475
2016-02-17,2016,2,17,Wednesday,07,2016-07,727.0,733.76,716.61,731.97,2457700,731.97,0.01996816755223385,729.9564285714285,732.4587096774194
2016-02-18,2016,2,18,Thursday,07,2016-07,733.96,736.0,715.55,717.51,2363800,717.51,-0.01975485541245614,727.7571428571429,731.9915625
2016-02-19,2016,2,19,Friday,07,2016-07,715.9,724.03,713.12,722.11,1745900,722.11,0.006411026359674166,724.9542857142858,731.6921212121213
2016-02-22,2016,2,22,Monday,08,2016-08,729.51,734.85,723.45,729.05,1875800,729.05,0.009610727703796451,721.9742857142857,731.6144117647059
2016-02-23,2016,2,23,Tuesday,08,2016-08,726.1,730.9,715.67,717.29,2066600,717.29,-0.016130594558029898,717.4300000000001,731.2051428571428
2016-02-24,2016,2,24,Wednesday,08,2016-08,710.61,721.22,702.02,720.9,1854600,720.9,0.0050328967325696805,715.3957142857142,730.9188888888889
2016-02-25,2016,2,25,Thursday,08,2016-08,722.93,729.51,713.23,729.12,1807300,729.12,0.011402372624145896,715.3307142857144,730.8702702702703
2016-02-26,2016,2,26,Friday,08,2016-08,733.6,736.16,721.94,724.86,2123700,724.86,-0.005842673077344873,716.8378571428572,730.7121052631579
2016-02-29,2016,2,29,Monday,09,2016-09,721.0,730.6,716.84,717.22,2253400,717.22,-0.010539986759969922,717.7707142857143,730.3661538461538
2016-03-01,2016,3,1,Tuesday,09,2016-09,721.3,742.33,718.64,742.17,3005600,742.17,0.03478711305622406,720.71,730.66125
2016-03-02,2016,3,2,Wednesday,09,2016-09,742.87,743.12,733.25,739.48,1814600,739.48,-0.003624509887692251,723.0407142857142,730.8763414634146
2016-03-03,2016,3,3,Thursday,09,2016-09,739.48,741.0,729.63,731.59,2026700,731.59,-0.01066959731388517,724.8428571428573,730.8933333333333
2016-03-04,2016,3,4,Friday,09,2016-09,734.8,735.0,725.62,730.22,2425800,730.22,-0.0018727102640156978,726.5092857142856,730.8776744186047
2016-03-07,2016,3,7,Monday,10,2016-10,725.15,727.21,705.14,712.8,3084500,712.8,-0.023855801825554912,726.1635714285715,730.4668181818182
2016-03-08,2016,3,8,Tuesday,10,2016-10,708.39,722.25,704.0,713.53,2626500,713.53,0.0010241884349166952,724.8464285714286,730.0904444444444
